key,vendor_type,status,business_name,location,description,lat,lon
C1,vendor_food,open,Via Tevere Pizzeria,C1 Authorised Parking Meter - West Side of 400 Burrard St,Pizza,49.28690264,-123.1175335
C10,vendor_food,open,Mum's Grilled Cheese Truck,C10 Authorised Parking Meter -West Side of 700 Howe St,Sandwiches and Soups,49.28220949,-123.1206849
C11,vendor_food,open,Holy Perogy,,Ukranian,49.285658,-123.11975
C12,vendor_food,open,Ze Bite,C12 Authorised Parking Meter - North Side of W Cordova St - East of Burrard St,French Cuisine,49.28761253,-123.1157734
C13,vendor_food,open,Pig on the Street,C13 Authorised Parking Meter - West Side of 700 Howe St - Mid Block,British Sandwiches,49.28236783,-123.1204436
C15,vendor_food,open,Kaboom Box,C15 Authorised Parking Meter - North Side of 1000 W Georgia St,Seafood,49.28519368,-123.1220931
C17,vendor_food,open,Le Tigre,C17 Authorised Parking Meter - North Side of Alberni St - East of Bute St,Chinese Cuisine,49.28659155,-123.1256189
C19,vendor_food,open,The Reef,C19 Authorised Parking Meter - East Side of Thurlow St - North of W Hastings St,Caribbean,49.28801643,-123.1195097
C20,vendor_food,pending,Holy Perogy,C20 Authorised Parking Meter - East Side of 700 Homer St - Mid Block,Ukranian Cuisine,49.27994092,-123.1160112
C3,vendor_food,open,Mr. Shawarma,C3 Authorised Parking Meter - North Side of 1000 Melville St,Philly Cheese Steak,49.285361,-123.120163
C4,vendor_food,open,Tacofino,C4 Authorised Parking Meter West Side 500 Burrard St,Seafood,49.286031,-123.119002
C5,vendor_food,open,Tacofino,C5 Authorised Parking Meter North West corner of Howe St and Robson St,Tacos,49.28230118,-123.1205293
C6,vendor_food,open,The Juice Truck,C6 Authorised Parking Meter West Side of 200 block of Abbott St,Juice and Smoothies,49.28370605,-123.1065784
C7,vendor_food,open,Roaming Dragon,C7 Authorised Parking Meter South East corner of Burrard St and Robson St,Pan Asian,49.28309671,-123.1229187
C8,vendor_food,open,Gourmet Syndicate,C8 Authorised Parking Meter South East corner of Burrard St at Smithe St,Comfort Food,49.28205453,-123.1245114
C9,vendor_food,open,Feastro - The Rolling Bistro,C9 Authorised Parking Meter - Thurlow St at W Cordova St,Seafood,49.288672,-123.118453
DT01,vendor_food,open,,East Side of 600 Beatty St - 6 Metres North of West Georgia St,Hot Dogs,49.27874633,-123.1120401
DT02,vendor_food,open,Yolk's,East Side of 500 Beatty St - 6 Metres North of Dunsmuir St,Breakfast Foods,49.2798897,-123.1102589
DT03,vendor_food,open,YVS Nuts,East Side of 500 Main St - 7 Metres South of E Pender St,Chestnuts,49.28024564,-123.0995171
DT04,vendor_food,open,,West Side of 600 Homer St - 6 Metres North of West Georgia St,Hot Dogs,49.28078623,-123.1151945
DT08,vendor_food,open,Soho Road Naan Kebab,South Side of 800 Smithe St - 6 metres West of Howe St,Indian Cuisine,49.28100889,-123.1226848
DT10,vendor_food,open,,Expo Boulevard - 20 Metres West of Abbott St,Hot Dogs,49.27879305,-123.1080081
DT13,vendor_food,open,,North Side of 900 Robson St - 6 Metres East of Burrard St,Hot Dogs,49.28325402,-123.1225534
DT24,vendor_food,open,Street Meet,West Side of 500 Burrard St - Authorised Parking Meter,Mediterranean,49.286508,-123.118219
SFV136,vendor_food,pending,Eat Sexy,Westside 400 Cambie St,Healthy Fusion,49.2818452,-123.109719
SFV137,vendor_food,open,JJs Trucketeria,Abbott and Expo St.,Healthy Philippino Fusion,49.2785165,-123.1075039
SFV138,vendor_food,open,Taqueria and Salsa Bar,South Side of 1700 E Broadway,Tacos and Fresh Salsas,49.26221792,-123.068833
SFV139,vendor_food,open,Bike Caffe,Olympic Village Skytrain Station,Sustainable Coffee and Gluten Free Baked Goods,49.26621337,-123.1158422
OD04,vendor_food,pending,Falafel Plus,West Side of 2700 Laurel St - South of W 10th Ave,Israeli Kosher,49.26164585,-123.1255031
DT15,vendor_food,open,,South Side of 200 West Georgia St - 8 Metres East of Hamilton St,Hot Dogs,49.27979726,-123.1141943
DT16,vendor_food,open,Mogu,West Side of Howe St - South of Dunsmuir St,Japanese Cuisine,49.284218,-123.117633
DT17,vendor_food,open,,South Side of 600 West Georgia St - 6 Metres East of Granville St,Hot Dogs,49.2823286,-123.1181104
DT19,vendor_food,open,Japadog,North Side of 600 West Cordova St - 6 Metres East of Granville St,Hot Dogs,49.28592169,-123.112449
DT21,vendor_food,open,,South Side of 300 Davie St - 6 Metres East of Hamilton St,Hot Dogs,49.27475023,-123.1227798
